conference;""year"";""program chair"";""affiliation""",,,,
"ECSCW;""2009"";""Ellen Balka"";""Simon Fraser University"," Canada""",,,
"ECSCW;""2009"";""Carla Simone"";""Universita' di Milano Bicocca"," Italy""",,,
"ECSCW;""2011"";""Wayne Lutters"";""UMBC""",,,,
"ECSCW;""2011"";""Volker Wulf"";""University of Siegen""",,,,
"ECSCW;""2013"";""Olav W. Bertelsen"";""Aarhus University"," Denmark""",,,
"ECSCW;""2013"";""Antonietta Grasso"";""Xerox Research Centre Europe"," France""",,,
"ECSCW;""2015"";""Nina Boulus-Rødje"";""University of Copenhagen"," Denmark""",,,
"ECSCW;""2015"";""Gunnar Ellingsen"";""The Arctic University Tromsø","Norway""",,,
"GROUP;""1997"";""Mark Pendergast"";""Washington State University""",,,,
"GROUP;""1997"";""Kjeld Schmidt"";""Risoe National Laboratory""",,,,
"GROUP;""1999"";""Carla Simone"";""Universita' di Torino""",,,,
"GROUP;""1999"";""Suzanne Weisband"";""University of Arizona""",,,,
"GROUP;""2001"";""Tom Rodden"";""University of Nottingham""",,,,
"GROUP;""2001"";""Ilze Zigurs"";""University of Nebraska at Omaha""",,,,
"GROUP;""2003"";""Marilyn Tremaine"";""New Jersey Institue of Technology""",,,,
"GROUP;""2003"";""Carla Simone"";""Universita' di Milano Bicocca""",,,,
"GROUP;""2007"";""Christine Halverson"";""IBM T.J. Watson Research Center""",,,,
"GROUP;""2007"";""Volker Wulf"";""University of Siegen""",,,,
"GROUP;""2009"";""Wolfgang Prinz"";""Fraunhofer FIT"," Germany""",,,
"GROUP;""2009"";""Wayne Lutters"";""UMBC"," USA""",,,
"GROUP;""2012"";""Kori Inkpen"";""Microsoft Research""",,,,
"GROUP;""2012"";""Tom Gross"";""University of Bamburg""",,,,
"GROUP;""2014"";""David McDonald"";""University of Washington""",,,,
"GROUP;""2014"";""Pernille Bjørn"";""IT University Copenhagen""",,,,
"IUI;""1997"";""Johanna D. Moore"";""University of Pittsburgh""",,,,
"IUI;""2000"";""Henry Lieberman"";""MIT Media Lab"," USA""",,,
"IUI;""2001"";""James Lester"";""North Carolina State University""",,,,
"IUI;""2002"";""Yolanda Gil"";""USC/Information Sciences Institute"," US""",,,
"IUI;""2003"";""Lewis Johnson"";""USC/Information Sciences Institute"," US""",,,
"IUI;""2003"";""Elisabeth André"";""University of Augsburg"," GE""",,,
"IUI;""2004"";""Charles Rich"";""Mitsubishi Elec. Res. Labs"," US""",,,
"IUI;""2004"";""Nuno Jardim Nunes"";""University Madeira"," PT""",,,
"IUI;""2005"";""John Riedl"";""University of Minnesota""",,,,
"IUI;""2005"";""Anthony Jameson"";""DFKI and International University"," Germany""",,,
"IUI;""2006"";""Cécile Paris"";""CSIRO ICT Centre"," Australia""",,,
"IUI;""2006"";""Candace L. Sidner"";""MERL"," USA""",,,
"IUI;""2007"";""Tessa Lau"";""IBM Almaden Research"," USA""",,,
"IUI;""2007"";""Angel Puerta"";""RedWhale Software"," USA""",,,
"IUI;""2008"";""Jeffrey Bradshaw"";""Institute of Human and Machine Cognition"," USA""",,,
"IUI;""2008"";""Henry Lieberman"";""Media Lab", Massachusetts Institute of Technology," USA""",,
"IUI;""2009"";""Nuria Oliver"";""Telefonica R&D",," Spain""",,
"IUI;""2009"";""Dan Weld"";""University of Washington"," USA""",,,
"IUI;""2010"";""Marc Cavazza"";""University Teesside"," UK""",,,
"IUI;""2010"";""Michelle Zhou"";""IBM Research"," China""",,,
"IUI;""2011"";""Elisabeth André"";""Univ. of Augsburg"," Germany""",,,
"IUI;""2011"";""Doug Riecken"";""IBM"," USA""",,,
"IUI;""2012"";""Joaquim Jorge"";""INESC-ID"," Portugal""",,,
"IUI;""2012"";""Sharon Oviatt"";""Incaa Designs"," USA""",,,
"IUI;""2012"";""Daniel Gonçalves"";""INESC-ID"," Portugal""",,,
"IUI;""2013"";""Pedro Szekely"";""University of Southern California""",,,,
"IUI;""2013"";""Jeffrey Nichols"";""IBM Almaden Research Center""",,,,
"IUI;""2014"";""Joyce Yue Chai"";""Michigan State University""",,,,
"IUI;""2014"";""Antonio Krüger"";""Saarland University and DFKI GmbH""",,,,
"IUI;""2015"";""Giuseppe Carenini"";""University of British Columbia""",,,,
"IUI;""2015"";""Shimei Pan"";""University of Maryland""",,,,
"IUI;""2015"";""Per Ola Kristensson"";""University of Cambridge""",,,,
"IUI;""2016"";""Cristina Conati"";""University of British Columbia"," Canada""",,,
"IUI;""2016"";""Massimo Zancanaro"";""Bruno Kessler Foundation"," Italy""",,,
"IUI;""2017"";""Fang Chen"";""Data61 and CSIRO Australia""",,,,
"IUI;""2017"";""Carlos Duarte"";""The University of Lisbon"," Portugal""",,,
"IUI;""2017"";""Wai-Tat Fu"";""The University of Illinois at Urbana-Champaign"," USA""",,,
"IUI;""2018"";""Margaret Burnett"";""Oregon State University"," USA""",,,
"IUI;""2018"";""Mark Billinghurst"";""University of South Australia"," Australia""",,,
"IUI;""2018"";""Aaron Quigley"";""University of St Andrews"," UK""",,,
"MHCI;""2002"";""Fabio Paternò"";""ISTI CNR"," Italy""",,,
"MHCI;""2004"";""Stephen Brewster"";""University of Glasgow"," UK""",,,
"MHCI;""2009"";""Markus Eisenhauer"";",,,,
"MHCI;""2009"";""Volker Wulf"";",,,,
"MHCI;""2009"";""Matthias Jarke"";",,,,
"MHCI;""2010"";""Nuno Correia"";""CITI & New University of Lisboa""",,,,
"MHCI;""2011"";""Oskar Juhlin"";""Stockholm University", Stockholm," Sweden""",,
"MHCI;""2011"";""Ylva Fernaeus"";""SICS", Stockholm," Sweden""",,
"MHCI;""2012"";""Patrick Baudisch"";""Hasso Plattner Institute"," Germany""",,,
"MHCI;""2012"";""Kenton O’Hara"";""Microsoft Research", Cambridge & University of Bristol," UK""",,
"MHCI;""2013"";""Daniel Ashbrook"";""Samsung"," USA""",,,
"MHCI;""2013"";""Enrico Rukzio"";""University of Ulm", Germany, and Lancaster University," UK""",
"PERCOM;""2003"";""Mohan Kumar"";""University of Texas at Arlington"," USA""",,,
"PERCOM;""2004"";""Anand Tripathi"";""University of Minnesota", Twin Cities," USA""",,
"PERCOM;""2004"";""Liviu Iftode"";""University of Maryland"," College Park""",,,
"PERCOM;""2004"";""Klara Nahrstedt"";""University of Illinois at Urbana Champaign""",,,,
"PERCOM;""2004"";""Paddy Nixon"";""University of Strathclyde"," UK""",,,
"PERCOM;""2005"";""Klara Nahrstedt"";""University of Illinois at Urbana-Champaign""",,,,
"PERCOM;""2005"";""Phil McKinley"";""Michigan State University""",,,,
"PERCOM;""2005"";""Steve Shafer"";""MicroSoft Corporation""",,,,
"PERCOM;""2005"";""Mukesh Singhal"";""University of Kentucky""",,,,
"PERCOM;""2006"";""Marco Conti"";""Istituto di Informatica e Telematica", IIT Pisa," Italy""",,
"PERCOM;""2006"";""Chatschik Bisdikian"";""IBM T.J. Watson Research Center", Hawthorne," USA""",,
"PERCOM;""2006"";""Jadwiga Indulska"";""The University of Queensland Brisbane"," Australia""",,,
"PERCOM;""2006"";""Franco Zambonelli"";""University of Modena and Reggio"," Italy""",,,
"PERCOM;""2009"";""Chatschik Bisdikian"";""IBM TJ Watson Research"," USA""",,,
"PERCOM;""2009"";""Silvia Giordano"";""SUSPI"," Switzerland""",,,
"PERCOM;""2009"";""Chandra Narayanaswami"";""IBM TJ Watson Research"," USA""",,,
"PERCOM;""2009"";""Albrecht Schmidt 0001"";""University of Duisburg-Essen"," Germany""",,,
"PERCOM;""2010"";""Giuseppe Anastasi"";""University of Pisa"," Italy""",,,
"PERCOM;""2010"";""Yonghe Liu"";""University of Texas at Arlington"," USA""",,,
"PERCOM;""2010"";""Daniela Nicklas"";""University of Oldenburg"," Germany""",,,
"PERCOM;""2010"";""Steve Ward"";""MIT"," USA""",,,
"PERCOM;""2011"";""Jadwiga Indulska"";""University of Queensland"," Australia""",,,
"PERCOM;""2011"";""Claudio Bettini"";""Universita di Milano"," Italy""",,,
"PERCOM;""2011"";""Roy H. Campbell"";""University of Illinois"," USA""",,,
"PERCOM;""2011"";""Cecilia Mascolo"";""University of Cambridge"," UK""",,,
"PERCOM;""2012"";""Albrecht Schmidt 0001"";""Univ. of Stuttgart"," Germany""",,,
"PERCOM;""2012"";""Jie Liu"";""Microsoft Research"," USA""",,,
"PERCOM;""2012"";""George Roussos"";""Birkbeck Univ. of London"," UK""",,,
"PERCOM;""2012"";""Alexander Varshavsky"";""AT&T Labs."," USA""",,,
"PERCOM;""2013"";""Claudio Bettini"";""University of Milan"," Italy""",,,
"PERCOM;""2013"";""Marco Gruteser"";""Rutgers University"," USA""",,,
"PERCOM;""2013"";""Christine Julien 0001"";""The University of Texas at Austin"," USA""",,,
"PERCOM;""2013"";""Marius Portmann"";""The University of Queensland"," Australia""",,,
"PERCOM;""2014"";""George Roussos"";""Birkbeck College", University of London," UK""",,
"PERCOM;""2014"";""Urs Hengartner"";""University of Waterloo"," Canada""",,,
"PERCOM;""2014"";""Shin'ichi Konomi"";""The University of Tokyo"," Japan""",,,
"PERCOM;""2014"";""Kay Römer"";""University of Lübeck"," Germany""",,,
"PERCOM;""2015"";""Diane Cook"";""Washington State University"," USA""",,,
"PERCOM;""2015"";""Christian Becker"";""Universität Mannheim"," Germany""",,,
"PERCOM;""2015"";""Andreas Bulling"";""Max-Planck Institute for Informatics"," Germany""",,,
"PERCOM;""2015"";""Zhiwen Yu"";""Northwestern Polytechnical University"," China""",,,
"PERCOM;""2016"";""Christian Becker"";""Universität Mannheim"," Germany""",,,
"PERCOM;""2016"";""Frank Dürr"";""University of Stuttgart"," Germany""",,,
"PERCOM;""2016"";""Jamie Payton"";""University of North Carolina at Charlotte"," USA""",,,
"PERCOM;""2016"";""Daniele Riboni"";""University of Milan"," Italy""",,,
"PERCOM;""2017"";""Christine Julien 0001"";""University of Texas at Austin"," USA""",,,
"PERCOM;""2017"";""Qi Han"";""Colorado School of Mines"," USA""",,,
"PERCOM;""2017"";""Franca Delmastro"";""IIT-CNR"," Italy""",,,
"PERCOM;""2017"";""Amy Murphy"";""Bruno Kessler Foundation"," Italy""",,,
"PERCOM;""2018"";""Gergely Záruba"";""The University of Texas at Arlington""",,,,
"PERCOM;""2018"";""Brent Lagesse"";""University of Washington", Bothell," USA""",,
"PERCOM;""2018"";""Flora D. Salim"";""RMIT University"," Australia""",,,
"PERCOM;""2018"";""Gregor Schiele"";""University Duisburg-Essen"," Germany""",,,
"UIST;""1988"";""John Sibert"";",,,,
"UIST;""1989"";""Dan R. Olsen"";",,,,
"UIST;""1990"";""Scott Hudson"";""Carnegie Mellon University""",,,,
"UIST;""1991"";""Jock Mackinlay"";",,,,
"UIST;""1992"";""Mark Green"";",,,,
"UIST;""1993"";""Randy Pausch"";""Carnegie Mellon University""",,,,
"UIST;""1994"";""Steve Feiner"";""Columbia University""",,,,
"UIST;""1995"";""George Robertson"";""Xerox PARC""",,,,
"UIST;""1996"";""Marc Brown"";""DEC Systems Research Center""",,,,
"UIST;""1997"";""Chris Schmandt"";""MIT Media Lab""",,,,
"UIST;""1998"";""Robert J.K. Jacob"";""Tufts University""",,,,
"UIST;""1999"";""Joe Marks"";""Mitsubishi Electric Research Laboratory""",,,,
"UIST;""2000"";""Scott E. Hudson"";""Carnegie Mellon University""",,,,
"UIST;""2001"";""Elizabeth Mynatt"";""Georgia Institute of Technology""",,,,
"UIST;""2002"";""W. Keith Edwards"";""PARC""",,,,
"UIST;""2003"";""Gregory Abowd"";""Georgia Tech""",,,,
"UIST;""2003"";""Blair MacIntyre"";""Georgia Tech""",,,,
"UIST;""2004"";""James Landay"";""University of Washington & Intel Research""",,,,
"UIST;""2005"";""Dan R. Olsen"";""Brigham Young University""",,,,
"UIST;""2006"";""Ken Hinckley"";""Microsoft Research""",,,,
"UIST;""2007"";""Ravin Balakrishnan"";""University of Toronto""",,,,
"UIST;""2008"";""Michel Beaudouin-Lafon"";""Université Paris-Sud"," France""",,,
"UIST;""2009"";""François Guimbretière"";",,,,
"UIST;""2010"";""Mary Czerwinski"";",,,,
"UIST;""2010"";""Robert C. Miller"";",,,,
"UIST;""2011"";""Maneesh Agrawala"";",,,,
"UIST;""2011"";""Scott Klemmer"";",,,,
"UIST;""2012"";""Hrvoje Benko"";""Microsoft Research"," USA""",,,
"UIST;""2012"";""Celine Latulipe"";""University of North Carolina at Charlotte"," USA""",,,
"UIST;""2013"";""Ivan Poupyrev"";""Disney Research"," USA""",,,
"UIST;""2013"";""Takeo Igarashi"";""The University of Tokyo"," Japan""",,,
"UIST;""2014"";""Mira Dontcheva"";""Adobe"," USA""",,,
"UIST;""2014"";""Daniel Wigdor"";""University of Toronto"," Canada""",,,
"UIST;""2015"";""Björn Hartmann"";""UC Berkeley""",,,,
"UIST;""2015"";""Tovi Grossman"";""Autodesk Research""",,,,
"UIST;""2016"";""Jacob O. Wobbrock"";""University of Washington""",,,,
"UIST;""2016"";""Daniel Avrahami"";""FXPAL""",,,,
"UIST;""2017"";""Jennifer Mankoff"";""University of Washington""",,,,
"UIST;""2017"";""Chris Harrison"";""Carnegie Mellon University""",,,,
"UIST;""2018"";""Andy Wilson"";""Microsoft Research""",,,,
"HUC;""1999"";""Hans-W. Gellersen"";""TecO & KIT""",,,,
"HUC;""1999"";""Peter Thomas"";""University of West England", Bristol," UK""",,
"HUC;""2000"";""Peter Thomas"";""University of West England", Bristol," UK""",,
"HUC;""2001"";""Steve Shafer"";""Microsoft Research"," USA""",,,
"HUC;""2001"";""Barry Brumitt"";""Microsoft Research"," USA""",,,
"HUC;""2002"";""Gaetano Borriello"";""University of Washington & Intel Research Seattle"," USA""",,,
"HUC;""2003"";""Anind K. Dey"";""Intel Research Berkeley"," USA""",,,
"HUC;""2003"";""Albrecht Schmidt 0001"";""University of Munich"," Germany""",,,
"HUC;""2004"";""Nigel Davies"";""Lancaster University", UK & University of Arizona," USA""",,
"HUC;""2004"";""Elizabeth Mynatt"";""Georgia Institute of Technology"," USA""",,,
"HUC;""2004"";""Itiro Siio"";""Tamagawa University"," Japan""",,,
"HUC;""2005"";""Michael Beigl"";""TecO & University of Karlsruhe"," Germany""",,,
"HUC;""2005"";""Stephen Intille"";""MIT"," USA""",,,
"HUC;""2005"";""Jun Rekimoto"";""SonyCSL"," Japan""",,,
"HUC;""2006"";""Paul Dourish"";""University of California", Irvine," USA""",,
"HUC;""2006"";""Adrian Friday"";""Lancaster University"," UK""",,,
"HUC;""2007"";""John Krumm"";""Microsoft Research"," USA""",,,
"HUC;""2007"";""Gregory Abowd"";""Georgia Tech"," USA""",,,
"HUC;""2007"";""Aruna Seneviratne"";""NICTA"," Australia""",,,
"HUC;""2008"";""Joe McCarthy"";""Strands Labs Seattle"," USA""",,,
"HUC;""2008"";""James Scott"";""Microsoft"," UK""",,,
"HUC;""2008"";""Woontack Woo"";""GIST"," Korea""",,,
"HUC;""2009"";""Hans Gellersen"";""Lancaster University"," UK""",,,
"HUC;""2009"";""Sunny Consolvo"";""Intel Research"," USA""",,,
"HUC;""2010"";""Khai Truong"";""University of Toronto"," Canada""",,,
"HUC;""2010"";""Paddy Nixon"";""University College Dublin"," Ireland""",,,
"HUC;""2011"";""Don Patterson"";""University of California", Irvine," USA""",,
"HUC;""2011"";""Yvonne Rogers"";""University College London"," UK""",,,
"HUC;""2011"";""Xing Xie"";""Microsoft Research Asia"," China""",,,
"HUC;""2012"";""Hao-Hua Chu"";""National Taiwan University"," Taiwan""",,,
"HUC;""2012"";""Gillian Hayes"";""University of California", Irvine," USA""",,
"HUC;""2013"";""John F. Canny"";""UC Berkeley"," US""",,,
"HUC;""2013"";""Marc Langheinrich"";""University of Lugano"," CH""",,,
"HUC;""2013"";""Jun Rekimoto"";""University of Tokyo"," JP""",,,
"HUC;""2014"";""Julie Kientz"";""University of Washington"," US""",,,
"HUC;""2014"";""James Scott"";""Microsoft Research"," UK""",,,
"HUC;""2014"";""Junehwa Song"";""Korea Advanced Institute of Science and Technology", KAIST," KR""",,
"HUC;""2015"";""Hans Gellersen"";""Lancaster University"," UK""",,,
"HUC;""2015"";""Tanzeem Choudhury"";""Cornell University"," US""",,,
"HUC;""2015"";""Koji Yatani"";""The Univerisity of Tokyo"," JP""",,,
"HUC;""2016"";""Andreas Bulling"";""Max Planck Institute for Informatics"," DE""",,,
"HUC;""2016"";""Youn-Kyung Lim"";""KAIST""",,,,
"HUC;""2016"";""Shwetak N. Patel"";""University of Washington""",,,,
"HUC;""2018"";""Cecilia Mascolo"";""University of Cambridge""",,,,
"HUC;""2018"";""Kamin Whitehouse"";""University of Virginia""",,,,
"HUC;""2018"";""Youngki Lee"";""Seoul National University""",,,,
"ICNP;""1995"";""Norio Shiratori"";""Tohoku University"," Japan""",,,
"ICNP;""1995"";""Ming T."";""Mike Liu", Ohio State University," USA""",,
"ICNP;""1996"";""Hasan Ural"";""University of Ottawa"," Canada""",,,
"ICNP;""1997"";""Mostafa Ammar"";""Georgia Tech"," USA""",,,
"ICNP;""1997"";""Udaya Shankar"";""University of Maryland", College Park," USA""",,
"ICNP;""1999"";""Joseph Bannister"";""ISI"," University of Southern California""",,,
"ICNP;""1999"";""Terry Todd"";""McMaster University""",,,,
"ICNP;""2000"";""David Lee"";""Bell Labs Research"," China""",,,
"ICNP;""2000"";""Hideo Miyahara"";""Osaka University"," Japan""",,,
"ICNP;""2001"";""Magda El Zarki"";""University of California"," Irvine""",,,
"ICNP;""2001"";""Klara Nahrstedt"";""University of Illinois"," Urbana-Champaign""",,,
"ICNP;""2002"";""Ernst Biersack"";""Institut Eurecom"," France""",,,
"ICNP;""2002"";""Ken Calvert"";""University of Kentucky"," USA""",,,
"ICNP;""2003"";""Jörg Liebeherr"";""University of Virginia""",,,,
"ICNP;""2003"";""Ellen Zegura"";""Georgia Tech""",,,,
"ICNP;""2004"";""Thomas La Porta"";""Pennsylvania State University"," USA""",,,
"ICNP;""2004"";""Ram Ramjee"";""Bell Labs"," USA""",,,
"ICNP;""2005"";""Mohamed Gouda"";""University of Texas at Austin"," USA""",,,
"ICNP;""2005"";""Ibrahim Matta"";""Boston University"," USA""",,,
"ICNP;""2006"";""Teruo Higashino"";""Osaka University"," JAPAN""",,,
"ICNP;""2007"";""Kenneth L. Calvert"";""University of Kentucky"," USA""",,,
"ICNP;""2007"";""David Yau"";""Purdue University"," USA""",,,
"ICNP;""2008"";""Kevin Almeroth"";""University of California", Santa Barbara," USA""",,
"ICNP;""2008"";""K. K. Ramakrishnan"";""AT&T Labs Research"," USA""",,,
"ICNP;""2009"";""Timothy G. Griffin"";""University of Cambridge""",,,,
"ICNP;""2009"";""Srikanth V. Krishnamurthy"";""University of California"," Riverside""",,,
"ICNP;""2010"";""Sonia Fahmy"";""Purdue University""",,,,
"ICNP;""2010"";""Toru Hasegawa"";""KDDI R&D Labs""",,,,
"ICNP;""2011"";""Sneha Kumar Kasera"";""University of Utah"," USA""",,,
"ICNP;""2011"";""Baochun Li"";""University of Toronto"," Canada""",,,
"ICNP;""2013"";""Tilman Wolf"";""University of Massachusetts""",,,,
"ICNP;""2013"";""Lixia Zhang"";""UCLA""",,,,
"ICNP;""2013"";""Zhi-Li Zhang"";""University of Minnesota""",,,,
"ICNP;""2014"";""Mohamed Gouda"";""University of Texas at Austin"," USA""",,,
"ICNP;""2014"";""Alex X. Liu"";""Michigan State University"," USA""",,,
"ICNP;""2015"";""Aditya Akella"";""University of Wisconsin"," Madison""",,,
"ICNP;""2015"";""Vishal Misra"";""Columbia University""",,,,
"ICNP;""2016"";""Lili Qiu"";""University of Texas at Austin""",,,,
"ICNP;""2016"";""Prashant Shenoy"";""University of Massachusetts Amherst""",,,,
"ICNP;""2017"";""Sergey Gorinsky"";""IMDEA Networks Institute"," Spain""",,,
"ICNP;""2017"";""Jörg Liebeherr"";""University of Toronto"," Canada""",,,
"ICNP;""2018"";""Lixin Gao"";""University of Massachusetts", Amherst," USA""",,
"ICNP;""2018"";""Cristina Nita-Rotaru"";""Northeastern University"," USA""",,,
"IMC;""2003"";""Mark Crovella"";""Boston University""",,,,
"IMC;""2004"";""Jim Kurose"";""University of Massachusetts""",,,,
"IMC;""2005"";""Venkat Padmanabhan"";""Microsoft Research""",,,,
"IMC;""2005"";""Darryl Veitch"";""University of Melbourne""",,,,
"IMC;""2006"";""Paul Barford"";""University of Wisconsin"," Madison""",,,
"IMC;""2007"";""Constantinos Dovrolis"";""Georgia Tech University""",,,,
"IMC;""2007"";""Matt Roughan"";""University of Adelaide""",,,,
"IMC;""2008"";""Konstantina Papagiannaki"";""Intel Research""",,,,
"IMC;""2008"";""Zhi-Li Zhang"";""University of Minnesota""",,,,
"IMC;""2009"";""Anja Feldmann"";""Deutsche Telekom Laboratory""",,,,
"IMC;""2009"";""Laurent Mathy"";""Lancaster University""",,,,
"IMC;""2010"";""Mark Allman"";""ICSI""",,,,
"IMC;""2011"";""Patrick Thiran"";""EPFL""",,,,
"IMC;""2011"";""Walter Willinger"";""AT&T""",,,,
"IMC;""2012"";""Ratul Mahajan"";""Microsoft""",,,,
"IMC;""2012"";""Alex Snoeren"";""UCSD""",,,,
"IMC;""2013"";""P. Krishna Gummadi"";""MPI-SWS""",,,,
"IMC;""2013"";""Craig Partridge"";""BBN Technologies""",,,,
"IMC;""2014"";""Aditya Akella"";""UW-Madison""",,,,
"IMC;""2014"";""Nina Taft"";""Technicolor""",,,,
"IMC;""2015"";""Vivek Pai"";""Google""",,,,
"IMC;""2015"";""Neil Spring"";""University of Maryland""",,,,
"IMC;""2016"";""Ramesh Govindan"";""USC""",,,,
"IMC;""2016"";""John Byers"";""Boston University""",,,,
"IMC;""2017"";""Renata Teixeira"";""Inria""",,,,
"IMC;""2017"";""Geoff Voelker"";""UCSD""",,,,
"IMC;""2018"";""Ben Y. Zhao"";""University of Chicago""",,,,
"IMC;""2018"";""Ethan Katz-Bassett"";""Columbia University""",,,,
"INFOCOM;""2003"";""Jim Roberts"";""France Telecom R&D""",,,,
"INFOCOM;""2003"";""Ness Shroff"";""Purdue University""",,,,
"INFOCOM;""2004"";""Bo Li"";""Hong Kong University of Science and Technology""",,,,
"INFOCOM;""2004"";""Marwan Krunz"";""University of Arizona""",,,,
"INFOCOM;""2004"";""Prasant Mohapatra"";""University of California"," Davis""",,,
"INFOCOM;""2005"";""Edward Knightly"";""Rice University""",,,,
"INFOCOM;""2005"";""Kia Makki"";""Florida International University""",,,,
"INFOCOM;""2005"";""Yuguang 'Michael' Fang"";""University of Florida""",,,,
"INFOCOM;""2006"";""Arturo Azcorra"";""Universidad Carlos III de Madrid""",,,,
"INFOCOM;""2006"";""Joe Touch"";""USC/ISI""",,,,
"INFOCOM;""2006"";""Zhili Zhang"";""University of Minnesota""",,,,
"INFOCOM;""2007"";""George Kesidis"";""Pennsylvania State University""",,,,
"INFOCOM;""2007"";""Eytan Modiano"";""Massachusetts Institute of Technology""",,,,
"INFOCOM;""2007"";""R. Srikant"";""University of Illinois at Urbana-Champaign""",,,,
"INFOCOM;""2008"";""Jennifer C. Hou"";""University of Illinois at Urbana Champaign"," USA""",,,
"INFOCOM;""2008"";""Shivkumar Kalyanaraman"";""Rensselaer Polytechnic Institute"," USA""",,,
"INFOCOM;""2008"";""Krishna Sivalingam"";""University of Maryland", Baltimore County, USA / Indian Institute of Technology, IIT Madras," India"""
"INFOCOM;""2009"";""Mooi Choo Chuah"";""Lehigh University""",,,,
"INFOCOM;""2009"";""Reuven Cohen"";""Technion"," Israel""",,,
"INFOCOM;""2009"";""Guoliang Xue"";""Arizona State University""",,,,
"INFOCOM;""2010"";""Mooi Choo Chuah"";""Lehigh University"," USA""",,,
"INFOCOM;""2010"";""Reuven Cohen"";""Technion"," Israel""",,,
"INFOCOM;""2010"";""Guoliang Xue"";""Arizona State University"," USA""",,,
"INFOCOM;""2011"";""Byrav Ramamurthy"";""University of Nebraska-Lincoln"," USA""",,,
"INFOCOM;""2011"";""Jie Wu"";""Temple University"," USA""",,,
"INFOCOM;""2011"";""Qian Zhang"";""Hong Kong University of Science and Technology"," Hong Kong""",,,
"INFOCOM;""2012"";""Anwar Walid"";""Bell Labs"," Alcatel-Lucent""",,,
"INFOCOM;""2012"";""Dapeng Oliver Wu"";""University of Florida""",,,,
"INFOCOM;""2012"";""Junshan Zhang"";""Arizona State University""",,,,
"INFOCOM;""2013"";""Guohong Cao"";""Pennsylvania State University"," USA""",,,
"INFOCOM;""2013"";""Antonio Capone"";""Politecnico di Milano"," Italy""",,,
"INFOCOM;""2013"";""Suresh Subramaniam"";""George Washington University"," USA""",,,
"INFOCOM;""2014"";""Giuseppe Bianchi"";""University of Roma Tor Vergata"," Italy""",,,
"INFOCOM;""2014"";""Yuguang Fang"";""Michael Fang", University of Florida," USA""",,
"INFOCOM;""2014"";""Xuemin Shen"";""Sherman Shen", University of Waterloo," Canada""",,
"INFOCOM;""2015"";""Sonia Fahmy"";""Purdue University"," USA""",,,
"INFOCOM;""2015"";""Baochun Li"";""University of Toronto"," Canada""",,,
"INFOCOM;""2015"";""John C. S. Lui"";""Chinese University of Hong Kong"," China""",,,
"INFOCOM;""2016"";""Sung-Ju Lee"";""KAIST"," South Korea""",,,
"INFOCOM;""2016"";""Chiara Petrioli"";""University of Rome 'La Sapienza'"," Italy""",,,
"INFOCOM;""2016"";""Peng-Jun Wan"";""Illionis Institute of Technology"," USA""",,,
"INFOCOM;""2017"";""Falko Dressler"";""Paderborn University"," Germany""",,,
"INFOCOM;""2017"";""Eylem Ekici"";""The Ohio State University"," USA""",,,
"INFOCOM;""2017"";""Wenye Wang"";""North Carolina State University"," USA""",,,
"INFOCOM;""2018"";""Shiwen Mao"";""Auburn University"," USA""",,,
"INFOCOM;""2018"";""Tommaso Melodia"";""Northeastern University"," USA""",,,
"INFOCOM;""2018"";""Prasun Sinha"";""Ohio State University"," USA""",,,
"IPSN;""2004"";""Jennifer Hou"";""University of Illinois at Urbana Champaign""",,,,
"IPSN;""2004"";""Thrasyvoulos Pappas"";""Northwestern University""",,,,
"IPSN;""2005"";""Rob Nowak"";""UW-Madison""",,,,
"IPSN;""2005"";""Mani Srivastava"";""UCLA""",,,,
"IPSN;""2006"";""Phillip Gibbons"";""Intel Research""",,,,
"IPSN;""2006"";""Stephen Wicker"";""Cornell University""",,,,
"IPSN;""2007"";""Leo Guibas"";""Stanford University""",,,,
"IPSN;""2007"";""Matt Welsh"";""Harvard University""",,,,
"IPSN;""2014"";""Jie Liu"";""Microsoft Research"," USA""",,,
"IPSN;""2014"";""Lin Zhong 0001"";""Rice University"," USA""",,,
"IPSN;""2016"";""David Culler"";""University of California at Berkeley""",,,,
"IPSN;""2016"";""Suman Nath"";""Microsoft Research""",,,,
"IPSN;""2016"";""Niki Trigoni"";""University of Oxford""",,,,
"IPSN;""2017"";""Prabal Dutta"";""University of Michigan & UC Berkeley""",,,,
"IPSN;""2017"";""Guoliang Xing"";""Michigan State University""",,,,
"IPSN;""2018"";""Jie Gao"";""Stony Brook University""",,,,
"IPSN;""2018"";""Pei Zhang 0001"";""Carnegie Mellon University""",,,,
"IWQoS;""2004"";""Baochun Li"";""University of Toronto""",,,,
"IWQoS;""2004"";""Zhi-Li Zhang"";""University of Minnesota""",,,,
"IWQoS;""2005"";""Hermann de Meer"";""University of Passau"," Germany""",,,
"IWQoS;""2005"";""Nina Bhatti"";""Hewlett-Packard Laboratories", Palo Alto, California," USA""",
"IWQoS;""2006"";""Y. Richard Yang"";""Yale University"," USA""",,,
"IWQoS;""2006"";""David Yau"";""Purdue University"," USA""",,,
"IWQoS;""2008"";""Hans van den Berg"";""TNO Information and Communication Technology Delft"," The Netherlands""",,,
"IWQoS;""2008"";""Gunnar Karlsson"";""KTH", Royal Institute of Technology, Stockholm," Sweden""",
